tweet,location
Good. I'm happy for any judicial office to actually read the 2nd amendment. Especially that bit about 'well regulated militia'. https://t.co/2KyiCkReUN,"Cambridge, MA"
Good guy with a gun!!! #NRASucks @NRA IS GOING DOWN!!! #TeachersAndGunsDontMix #GoodGuyWithAGun https://t.co/ZrnmWfuT0s,"Missoula, MT"
@LorenDiGiorgi @AP I disagree. The right to marry is constitutional and states can set rules such as age restrictions which are not seen to infringe on that right. How is an age restriction set by a state for guns any different?,"Philadelphia, PA"
Fuck the @NRA 🖕🏼🖕🏼 https://t.co/NPSDgd2en3,"West Babylon, NY"
You notice trump don’t mention this anymore!!! https://t.co/pxhUCSXSBd,"Tennessee, USA"
@NativeTexan74 @Alyssa_Milano @NRA They don't sell guns.,"Fallon, NV"
Oh well Fl signs the gun bill not that it’s all that bad but was passed on emotion not facts. MANY MAY HAVE THEIR RIGHTS COMPROMISED TO SATIFY THE EMOTIONS OF A FEW. THE TRUE GUILTY HERE WERE THE FEDS AND BROWARD SHERIFF OFFICE ALLIED TO OBAMA CLINTON AGENDA TRUE JUSTICE ????,"Palm Harbor, FL"
#ReadyPlayerDumb 😂 https://t.co/cphNeBgY3W,"Garfield, NJ"
"@Chris4943 @EdKrassen Really.Fully realize U.S. awash in guns, most of them in the hands of unvetted legal gun owners.Simply sad that the stats are what they are, horrible domestic homicide rate unquestionably driven by the presence of firearms. Anyways.","West Yarmouth, MA"
Please hire Michael Cohen!!! https://t.co/LTmQD5TFFM,"Tennessee, USA"
@JayValenz67 Agree with you 100% To many things are pushed aside  weather overwhelming over worked as some in social Services are see I do not blame the FBI they also relied on information from other agencies ! I pray those guns are ban when someone  get courageous,"Cheektowaga, NY"
A Republican with a conscience and some courage.  How refreshing. https://t.co/3WIreBf2v1,"Fort Mill, SC"
never a dull moment when you live in the sunshine state https://t.co/cRPoUhywfb,"Azalea Park, FL"
@sppeoples @DavidMDrucker The same people who think a store must sell guns to children think a bakery has a right not to sell a cake to gay people though.,"Washington, DC"
"@USATODAY Suing the state to allow individuals to buy guns when they still need to mature as individuals to be able to carry a gun, the NRA does not represent all of our rights nor all of our values.   I do not support the NRA, I support the right for life and being able to feel safe.","Santa Rosa, CA"
I’M YELLING😂😂😂😂😂😩 https://t.co/2jOamEUHxP,"Lancaster, NY"
"@NRA you guys are A+ pieces of shit, aren’t you? https://t.co/aSEMuxlBIZ","La Grange Park, IL"
why do I know too many people that would fit this narrative perfectly https://t.co/uk2YyHNk0X,"Los Angeles, CA"
Actually it's not fine you have to be 21 to buy a beer and btw how effective are those laws as 18 to 31 folks obtain booze? https://t.co/gPKgGXwybi,"Louisiana, USA"
"@davidhogg111 Not only that, don't be surprised when they sneak a provision loosening these new gun control regulations into a clean water bill or a disaster relief bill, or a school funding bill. #NeverAgain","Prescott, AZ"
"@sweetviolet79 @GadsdenRattler_ @CNN @NRA Nah...healthcare is too expensive and hard to obtain. Buy guns, not glasses, it’s easier. 👓 🙄","Lewiston, ME"
Why do we need MORE gun and immigration laws?? Wouldn't enforcing the ones already on the books suffice??,"Drexel, NC"
And yet why people are so upset with the NRA remains a total mystery to many conservatives. https://t.co/BvXzeqlciD,"Manhattan, NY"
She’s not going to call out the Marxist but I will! https://t.co/dy9K0cvYRi,"Alabama, USA"
Disturbing https://t.co/Xb2Hupc4xr,"Miami Lakes, FL"
"FL lawmaker: Kids aren’t smart enough to make laws.

Also FL lawmaker: “We has the wisdom.” https://t.co/uMxeAdL08H","Picnic Point, WA"
@ChiSportsHomer @Texolinagan @AP To the #NRA that’s money lost. So it’s a harm to them. They don’t give a shit about how many people are killed with guns.,"Manhattan, NY"
"@Blinke11 @saltyconchy @Christi77929362 @KayBear54 @GitcheeGu @NRA As @Potus bows to the #NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of action against gun violence. #NRABloodOnYourHands 
.
https://t.co/6MCAPwNLr5","Los Angeles, CA"
Finally! https://t.co/Wmq8QCW1ZV,"Houston, TX"
Guns can also save lives #Texas https://t.co/IgF5lTzVP0,"Coppell, TX"
Ugly but unsurprising from the NRA https://t.co/pktcdjiJNy,"Queens, NY"
How does this go against the 2nd ammendment? Is there an age limit specified in the amendment? #GunContolNow #SensibleGunLaws #NRA files lawsuit over Florida gun control law https://t.co/yo5iiToDgx https://t.co/xGG7mVJU7r,"Palatine, IL"
"@nelaknight2 @Alyssa_Milano @NRA That's strange. 
  They've never fought for mentally unstable people to buy firearms, children to buy firearms, for school shooters, etc etc. As far as safety,  they are the largest firearms safety organization on the planet.","Fallon, NV"
@parthetis @MyCalVet @DeptVetAffairs This is not 1776 ... most guns are automatic 🙄 ask your friend,"Alabama, USA"
"I believe there is always a peaceful way to reach a resolution, but right now the NRA can catch these hands. https://t.co/N1GVLPBRZs","Montana, USA"
Awesome!! 🎸🎧🎶 https://t.co/PHZDJBfXqD,"Nebraska, USA"
Unbelievable. https://t.co/JZ9fHhhlWC,"Miami, FL"
@2Chron169 @CaroleFor45 @DebbieAAldrich @LeahR77 @GrizzleMeister @PatriotLexi @LVNancy @StacyLStiles @steph93065 @KatTheHammer1 @Hoosiers1986 Gee if only he had added an involuntary mental health hold &amp; evaluation on people who have had numerous police interactions w/ documented violent behavior. Guns are not the problem. The unwillingness to address mental health issues is the problem. He sidestepped the problem! SMH,"Hanford, CA"
@Syrik_Zero @EAAccess So It's a polished turd set to guns n roses,"Missouri, USA"
If you don’t think that the government will take your guns. Well here you go. https://t.co/YGpJzBcJGX,"Indiana, USA"
"""And make no mistake: Although the perpetrators of mass school shootings have been almost exclusively white, there’s little doubt that arming teachers will lead disproportionately to the killing — by teachers — of children of color.""

https://t.co/rPzu9ChYw5","Ashtabula, OH"
"@PaulRieckhoff @knightchandler7 @TalindaB @iava This is part of the larger question; Should any of the mentally ill be allowed to have guns? 20% of vets return home with a serious mental illness. Break their brains, then take their guns? Doesn’t seem fair.","San Francisco, CA"
Reasons like this is why Guns shouldn’t be taken away!! Thank god to the Samaritan🙌🏼 https://t.co/JdWFBrICyh,"Midlothian, TX"
"Ok.... the first truly negative response on the feed.  I hear ya Spencer, steel however is used in a shit ton of other ways too.  #noguns https://t.co/dgXBDpURpR","Washougal, WA"
"@antonio_anselmi @AP Marriage is a right, states can decide the age.

Also, please see NRA v. BTAFE (700 F.3d 185) which the Supreme Court declined to hear in 2014. It upheld a federal handgun age restriction.

https://t.co/39i7cVIFqE https://t.co/tNCOMNZjjG","Philadelphia, PA"
Of course they are... https://t.co/9puRfRNdXe,"North Carolina, USA"
"I look forward to seeing the decrease in gun violence that will be correlated with Bumble disallowing photos with firearms. 

Not all hero’s wear capes","Culver City, CA"
@Variety I just watched the Looney Tunes last night where Bugs Bunny and Yosemite Sam where shooting each other in the face with guns. I don’t remember growing up thinking that entertainment was real. #guncontrol #boycottnra,"Los Angeles, CA"
"Man, fuck off @NRA https://t.co/GMTCYemZmM","Washington, DC"
Guns are available and in broad supply.,"Inglewood, CA"
Our sick politicians want more guns.,"Inglewood, CA"
"Bye-bye to my childhood. (Hotwheels, Micro-Machines, Batman action figures, WWF wrestling action figures from JAKKS Pacific, Bikes, Super-Soaker water guns, laser tag set, Gameboy Color etc...) https://t.co/PSxUw4cCSH","Cheval, FL"
https://t.co/Fn6ryXTlEa,"Gilbert, AZ"
@wildnestor @danieljgillies All these countries have military guards in and around their schools.   WITH GUNS...,"Wonder Lake, IL"
@realDonaldTrump @Saccone4PA18 I just watched him screaming about guns &amp; Bibles. He reminds me of your freak friend Alex Jones.,"Florida, USA"
@FrankEckrodeSr @AP Which isn't the issue. The right for a civilian to purchase guns is the issue. And 18-20 year olds in Florida now cannot do that and it's perfectly constitutional.,"Philadelphia, PA"
