tweet,location
When you accidentally hit the silent alarm and the cops show guns drawn😂😅😅 My bad lol,"New York, USA"
"People want to talk gun control but font want to talk about drug abuse!!!????
Really u people want to talk #guncontrol but silence on #drugabuse","Missouri, USA"
"@CoopaSteady Lmaooo since the solution is more guns, why not just arm everyone? Make it a nice battle royale.","Brooklyn, NY"
"Gun Control is a bipartisan issue. 
Gun Violence shouldn’t be. 🧡

#ENOUGH #NeverAgain #NationalWalkoutDay","Moorpark, CA"
You are an example of a young man with a head on your shoulders...you can think &amp; reason for yourself. https://t.co/J6TPbwimPP,"Virginia, USA"
And I say WHITE MEN because that seems to be the people fighting against these gun laws.,"Bronx, NY"
Guns are dangerous. Certain #guns are disrupting the order of civilized American society. It’s true if you believe it or not. The constitution only exists to keep our social order. Once that crumbles our society goes with it. #neveragainmovement,"Minneapolis, MN"
How many innocent lives have to be lost before we enact stricter gun control? #StudentsStandUp #NeverAgainIsNow https://t.co/3nRz8tRqWv,Los Osos High School
@Jack_W002 @SenWarren So your solution is to get rid of all guns because some criminals will get them regardless,"Tucson, AZ"
"Ok so we should just get rid of guns because people have died from them? Check this out, what if we just made a mandatory mental health background check and made it a little harder instead of knocking on everyone’s door and expect them to be okay with it? That’s just me tho.","Gainesville, FL"
@PattyJo00781271 @KyleKashuv @SecretaryCarson The kid? Smh- all he sees is guns as the problem- he’s a SLAVE already. The issue is #Bullying . Dr Carson rocks- great man a great role model.,"Tillmans Corner, AL"
"11,000,000+ deaths by abortion in that same time period.

Still waiting for politicians to act.

You're right, politicians apparently DON'T give a damn about kids. https://t.co/xsvpLM3Obv","Roselle, IL"
"Even though the Republican didn't win in PA we should not fret over the other guy's victory. He ran as a CENTRIST, doesn't like Nancy Pelosi, won't support more gun control, supports Trump's tariffs. Running as a Liberal is deadly in today's political environment","Brooklyn, NY"
I don't own a gun. But lemme tell you who is going to feel safer with guns being banned: Criminals and mass murderes. Seems logical. https://t.co/KQHmApA55Z,"Greenwich, CT"
“NoBoDy WaNtS tO tAkE yOuR gUnS!!1!” https://t.co/qVRJNhSNBb,"Pennsylvania, USA"
@TruckinPete101 @ImDeplorable16 @ToddRokitaIN It’s not called liberal nation rising it’s called Nazi nation rising they won our guns they won our freedom they want to lock it all up if we don’t do what they say!!!!!,"Manhattan, KS"
"Google Firearm safety and you will learn the top 10 rules of safe gun handling. Here are the first 2: 1) Always keep muzzle pointed in a safe direction and, 2) firearms should be unloaded when not in actual use. @NSSF https://t.co/U3UsBAQMgC","Atlanta, GA"
@Jack_W002 @SenWarren my point is some guns are illegal and criminals get them any ways so gun laws dont work on criminals,"Tucson, AZ"
#NationalWalkoutDay https://t.co/t9eg21pRPo,"Moss Bluff, LA"
My children's High school did a moment of silence and had all the classrooms play a 17 minute video to honor the victims. They also set up to have students write letters and express their view of gun safety laws. Anyone who walks out would be reprimanded. NY gun laws are strict.,"Middle Island, NY"
@SpodaGetMo @swim_my_way @efunkny @Afrank4077 @shannonrwatts Well dimwit..we can't stop the spread of germs..we try to teach them to wash their hands &amp; then the DEMS tried to insure that EVERY child has access to good healthcare..we can try to stop shootings with common sense gun laws..,"Collinsville, IL"
"A good read about the BS musicians have to deal with and the compromises they have to make when record labels force their way. Glad @ScottyMcCreery stuck to his guns. But dude, white wine? Lame. #redwine 

https://t.co/IL1Ts1JbCy","Tampa, FL"
@JustinIBlackman Yes you have a voice but you guys need to get educated about guns. Did u know that a kid that didn’t agree with his classmates got called a killer?,"Prescott, AZ"
Re-fuckin-tweet https://t.co/5TQnkf1jK5,"Hesperia, CA"
@StarTribune This is what they're considering instead of gun control? Not impressed,"Lindstrom, MN"
🤷🏽‍♂️ welcome to the Centrist idea. https://t.co/j0BIYnRlpi,"Boston, MA"
He trying to run for Senate &amp; get votes https://t.co/gXMjfde8Ji,"Manhattan, NY"
#NRA Clinched First Of Truth Tshirt Gun Control Tshirt Gun Reform Val Elaine https://t.co/fKX38fSoHp via @amazon,"St Louis, MO"
@LucyInDaSkyDiam @shootisttx @stilestina1 @Rtfighter_MAGA @KentSailor @JoyceEScott1 @boomer2748 @SKSSKanz @RARRRRR @ElkfourKirk @4westriver @Lineman000001 @JoeTowe1222 @sassyinky @Armyvet4 @OGWretch @GFD_63 @dan_soderholm @Myinfo75008888 @hogwarts7777777 @haroldb54 @breal372002 @TX45patriot @DavidDbgadjet @KindlyCare13 @POTUS 🙄Another two words for the ‘no guns’ game.... Jeffrey Dahmer.... I got all night! This is a fun game!!! You are are soooo much fun to play with!!!! 😂😂😂😂,"South Carolina, USA"
"Sad deal drugs kill 100 times more than guns????
Wow people!!!
Get real!!!
Chicago????
Illinois toughest gun laws really????","Missouri, USA"
"I find it interesting that many who are pro-gun are also pro life. You would think they would prioritize the lives of kids over the importance of owning a gun. Guns have more rights than the lives of people, apparently.","Berkeley, CA"
smh wouldnt happen if we also gave students guns https://t.co/DSXsLFHUhP,"Nashville, TN"
They not minding me at all once the neighbor brought out nerf guns,"Austin, TX"
Re-fuckin-tweet 👏👏👏 https://t.co/5TQnkf1jK5,"Hesperia, CA"
absolutely love my alma mater🧡💙 https://t.co/HdMGgXAUUk,"Baltimore, MD"
"@hanlon_connor It's impossible to ban selling guns. People always will no matter what. And take guns away and the bad people will always have them, so the good people won't for protection...","Whitman, MA"
Good grief... https://t.co/2lobctvZR4,"Blaine, MN"
"https://t.co/uDPaRKKws4 is a leader in advocating for a Texas #RedFlag law aka Lethal Violence Protective Order #LVPO, #ERPO, #GVPO #txlege https://t.co/mgrqJW6NNh","Texas, USA"
Secret Service literally carries guns in and around and on the roof of the White House to protect the president and everyone inside. https://t.co/SQx3ktnGcY,"Edina, MN"
"Thread: I don’t love my guns because I hate kids and want them to die. That’s true for most NRA members and 2A supporters. 

The disconnect in the whole gun debate is on what the true purpose for the second amendment is. Guns were ALWAYS meant to be protection for citizens.","Milledgeville, GA"
"More guns protect people than kill people. No one reports on that, because guns are a detergent from crime most of the time.","Milledgeville, GA"
"@nbcwashington Stop the bullshit @nbcwashington. It's not a gun control bill, it just has a title. You MSM assholes are incredulous","Montclair, VA"
"Presumably those KKK members were going to do harm, as she did grow up in 50s Alabama. Do you think the police chief, who was evil and racist and gross, wouldn’t have had people confiscate black peoples guns if there had been some kind of registry? I certainly think he would.","Milledgeville, GA"
"And for all those who say, tyrannical government is a thing of the past, you would be WRONG. The second amendment was given as a detergent from govt overreach and violence. Just as guns are a detergent from personal attackers, they also work as a deterant from government.","Milledgeville, GA"
I suspect this might be what happens. I always say if you can't come to a reasonable agreement someone will be stuck with  an extreme solution https://t.co/4jkwMY5yeD,"Kansas City, MO"
"School kids stage a walkout because they’re tired of going to school in fear.

White, right-wing dudebro: WHAT ABOUT MEEEEEEEEEE!?!?!? https://t.co/OFaMiVkpgK","Bartlett, TN"
"@Emma4Change Emma, fight for cruz’ life. His execution puts the blame where it doesn’t belong. He was sick, desperate. No one helped him in spite of all his actions that screamed for help. His execution will be an indirect but potent way of denying the culpability of gun control resisters.","North Attleboro, MA"
@ConMillenial1 @TheRarispy @davidharsanyi @baad_kittee Gun. Violence. Not. Gun. Rights. https://t.co/lX4Qorvyxf,"Kearney, NE"
I agree. I just don't trust that crusty old man. https://t.co/ZfJayPpFas,"North Carolina, USA"
Guns can be regulated. Gun laws can be passed to limit the availability to bad or irresponsible people. But the right of a responsible adult person to own a common gun of their choosing cannot be infringed. Do not give an inch on this basic human right.,"Barberton, OH"
I have faith now in our country's future https://t.co/QMHgtrNNex,"Baltimore, MD"
@AnthemRespect @ABC These kids are next crop of SLAVES for DNC. The issue isn’t guns- it’s #bullying. That’s what caused kid to need an equalizer.,"Tillmans Corner, AL"
"I have a granddaughter who marched today, she doesn’t want to believe there is ulterior motives by those who organized the marches. “Well, we were allowed to march for whatever we believed” was her explanation. She rationalized that it doesn’t matter what others want to believe😢 https://t.co/QTRoHNP3Kb","Missouri, USA"
"Please tell me who said the first quote. I'd love to know. 

Assuming that law abiding citizens have blood on there hands because they are pro gun is down right stupid. https://t.co/9yDLwIpaEb","Selah, WA"
"Man, I hope our elected officials read this.  Well done @BetsyHodges.
 
Lead with love. https://t.co/qqzWp8Or2U","Queens, NY"
Littering and.... https://t.co/hQHtpajTqB,"Silver Firs, WA"
"@bennyjohnson Trump's poorly educated keep thinking that ""good guys with guns"" have to be unemployed. #LasVegasShooting #BoycottNRA #NRABoycott #MAGA","Newport Beach, CA"
"@Pr0ud2bAmerican @DanMcMonigle1 @SpartyBeck2 @Thedarkamerica @bbk2228 @pr0650 @Dirty_Diaz1965 @KimLeadford @davidhogg111 I'm glad you're a well behaved gun owner. I understand &amp; can definitely appreciate a collector. 
I think there are very interesting antique rifles out there that hold great stories.

Doesn't negate the need for some regulations/laws. Sounds like they wouldn't effect you anyway 😉","Oregon, USA"
"Since NY gun laws are strict and the school gave them a pathway to be engaged, I personally did not want my children to walk out. I see a walk out as breaking rules. Rules to students are as laws to adults.  1st amendment is not a pass to break laws and rules should be followed.","Middle Island, NY"
"Good for him, give this guy a medal❗❗❗ https://t.co/yMncKRrgIT","Arizona, USA"
"Perhaps you should listen to them, AND also learn the definition and concept of democracy. Making America great again does not entail a dictatorship. https://t.co/Zu9J2fk4xD","Denver, CO"
@ebbycampbell_25 The same people who will say school shootings are caused by people not being nice enough to each other but then call people snowflakes and libtards lmao,"Isla Vista, CA"
Welcome to the math! Folx believe that there are more guns holstered  on the streets than there are cars registered to drive! #dumbass https://t.co/ivkRmlEpJE,"Murfreesboro, TN"
"NO NO NO NO exposing children and teachers to more guns WILL NOT FIX THE PROBLEM IT WILL MAKE IT WORSE. 
Mr.President, PLEASE tell me you read about the teacher that aCCIDENTALLY shot a gun trying to show hIS CLASS HOW IT WORKS.... UHHHHH A STUDENT IS HURT. https://t.co/BpOmliCoUe","Elkhart, IN"
"Give teachers guns they said, it will help save students lives they said https://t.co/mWC6SrLQoI","Hazlet, NJ"
"Wow Congress voted for 50 million to stop school violence! A million a state!  How many schools per state? How much money would each armed guard earn per school year? Say if their were 200 schools per state! $5,000 per guard? Not counting the cost of guns? NRA would donate them?","Rossford, OH"
Guns are more crucial to society than most people think.,"Irvine, CA"
More guns equal more deaths. #walkout,"Murfreesboro, TN"
"@ethan_r_brown @__BigNasty__ Mass shootings victims have been around guns, there friends might be dead, but hey they are still alive and so is there family. See how disgusting that sounds.","Louisville, KY"
Fact: a gun is not a human being. https://t.co/3PEGBQCc2k,"Selah, WA"
High school students are minors. It's NOT appropriate for a bunch of kids to ditch class based on a false narrative pushed by the left. You're NEVER going to ban guns. #2ADefenders  Arm teaches and staff &amp; you'll never have another school shooting again. Shooters are cowards https://t.co/7gfDTYbmFz,"Tustin, CA"
👏🏾👏🏾👏🏾💪🏾💪🏾💪🏾✊🏾✊🏾✊🏾 https://t.co/uR6tfI6m6Y,"Melbourne, FL"
I wish people understood that there are plenty of RNA members that wanna help increase gun laws.,"Los Angeles, CA"
"Kids spending a few minutes peacefully protesting the real danger of school shootings shows their commitment to their life, liberty, and the pursuit of happiness. #NeverAgain","Los Angeles, CA"
@chuckwoolery What do you think kids need to be protesting- guns or bullying. Bullies caused the shooting- but DNC is leading another charge to unarm law abiding citizens. I think that’s wrong. What say you?,"Tillmans Corner, AL"
The Kids ARE Alright. Way to go #JustinBlackman. You make us all proud. https://t.co/jvhovy7dOu,"Arlington, VA"
Streator highschool let students exercise their rights to a peaceful protest by not letting them peacefully protest. Sounds legit https://t.co/yh6OXXGjhL,"Sycamore, IL"
@Jack_W002 @SenWarren https://t.co/9hfTrEOJdB this proves it lol,"Tucson, AZ"
"@LarleesWorld @jrob607 @AmiriKing I remember when Columbian happened , A. The media blamed it on Marilyn Manson so they started banning him everywhere but Clinton started pushing for gun control , that was 19 years ago . Nothing . Has . Changed and won't","Louisville, KY"
"I like it to the protests in NYC a few years back over social injustice and police brutality. Step off the curb and get arrested, stay on the curb and be heard!

When the school gave my kids a pathway to be heard, the walkout was their curb. Again, NY has strict gun laws.","Middle Island, NY"
I never said one thing about guns. I simply stated a fact about hypocracy at Redwood. Your a little dramatic “sis” https://t.co/CWcr0AOcYF,"Visalia, CA"
🌊 https://t.co/SJXJsNn9O7,"Virginia, USA"
"@SenJohnKennedy Are you serious, dude? Do something about the god damn guns","Philadelphia, PA"
Powerful and moving. Keep fighting! You are making a difference. https://t.co/5b388BtFvN,"Phoenix, AZ"
"@DailyCaller MORE GUNS IN SCHOOLS, SHAQ? I refuse to buy anything because a star is selling it, going back to when I was a kid in the 1960's. I will escalate this with @SHAQ , who I now classify as a jerk. I will boycott anything he sells regardless of merit. @davidhogg111 #ParklandStrong","Georgia, USA"
Yes! Shaq 2020 https://t.co/mKq9GsFhki,"California, USA"
@KSTP But what about gun control? They're working on this instead? Huh. Not impressed,"Lindstrom, MN"
"I bet all those students support abortion and death penalty. Not much of a ""march for life."" Leftist #GroupThink.
 https://t.co/zeePyxP11U","La Mesa, CA"
@NancyPelosi Your party is the reason there is no respect. Therefore you don't understand. Law biding citizens understand respect and respect the guns we own. Disrectful people don't respect anything. Like you.,"Washington, USA"
the answer to guns is not more guns !!!!!!!,"Cedar Rapids, IA"
This might be the time for all the 2A folks arguing that they need every and all guns in case they have to fight the US gov't... https://t.co/39Y7hZOrXa,"Nashville, TN"
"I’m so proud of my High School 🙌🏾
#PolyPride
#ProudAlum https://t.co/07Gn27rsAJ","Manhattan, NY"
There are no accidents with guns... https://t.co/Gu7KlkSNx9,"Dunedin, FL"
"Give it a shot, sparky https://t.co/4ieI5EWzZJ","Tennessee, USA"
The one below it LMAO https://t.co/jDsxrPkbRC,"Houston, TX"
Jesus Christ. Gun owners are such losers https://t.co/DPPyhrx0YQ,"Indian Wells, CA"
@liberalmommaof4 @cleflore23 @Bobbitchin15 @type2gamingX @Shawn_md @KirkMorphew @minkycarroll @bjonesbrown @NorthwesternU @TheDailyEdge @NRA I’m tired of non gun owners telling me how to own guns.,"Colorado, USA"
@SonofLiberty357 Bernie using the ‘blame the gun’ lie just to try to unarm law abiding Americans. Real issue should be #bullying. What are the laws on bullying?!,"Tillmans Corner, AL"
@abettergeek Yay gun control,"Harriman, TN"
"I stand with the students across America!  
#NationalWalkoutDay https://t.co/JP4TTA8CVo","Chicago, IL"
"Same. My school banned black trenchcoats and had an informal if-you-see-something-say-something for video game loving loners, but never even mentioned guns. And we just kinda took it.

I’m sorry. We should have marched. But I’m glad you’re better than we were. #NationalWalkoutDay https://t.co/82EXG58OJr","Walnut Creek, CA"
"@HuffPostPol It said, ""We'll take care of our own guns"".","Cosmopolis, WA"
"In a valley of 600,000 people, that's not very much. https://t.co/QiKH4VThWE","Boise, ID"
Guns are not the problem. Especially not the NRA. https://t.co/yfh7SCI8dd,"Georgia, USA"
That last line is fantastic self own 😂 https://t.co/lSY4v4gxXI,"St Paul, MN"
"@SenJohnKennedy How about guns, single payer, and strong banking regulations?","Casas Adobes, AZ"
"Lol School Threat Assessment Officer shoots Black Boy to keep White Kids safe so it’s fine. 

You’re a mark and bad at your job. https://t.co/LN7IKqcWjz","Chicago, IL"
@badzachx I like the fact that it is respect to those who lost their life but seriously if you want to make a difference you must do a lot more than just “walking out” of school. Do something that can change or attempt to help those you are mentally ill because people kill not guns.,"Pennsylvania, USA"
@JillWineBanks @PeconicLady Classrooms &amp; Guns are ANTINOMIC.,"Bronx, NY"
"@realDonaldTrump Not you, not the @GOP, and certainly not your funders in the #NRA are responsible for any change in gun laws or protecting our children. That change was led by youth like @Emma4Change...they are saving the world. Sit down and shut up, Donnie.","Missouri, USA"
And Morton is handing out detentions.... https://t.co/lhXz5XnJpZ,"Berwyn, IL"
@realDonaldTrump Stop throwing taxpayer $ away w/ bullshit ideas instead of tackling gun control,"Deerfield Beach, FL"
@Jrmtactical @LanchestersCube Bobby can't simply stand facts. He's paranoic if the Feds coming to take his guns. Meanwhile his beloved NRA tramples on State's rights. Lol.,"West Yarmouth, MA"
"@emilys0derman If you want to have a civil discussion with me about gun rights, that’s great, but I don’t need you shitting on me on twitter, and yelling in my face at school. I’m sorry I didn’t realize I wasn’t allowed to have an opinion.","Michigan, USA"
#ChangeIsComing to BOTH sides you’ve been WARNED @GOP @dccc #2018Elections #WeAreComingForYou #enough #StudentWalkout https://t.co/wjMZd1Iu3s,"San Diego, CA"
"This isn’t proactive – it’s reactive. Although it’s a good start, ultimately, this bill mediates instead of directly addressing the root cause of gun violence: guns. Is making schools more safe instead of our country more safe supposed to make children feel secure?

#GunReformNow https://t.co/MNUdMbG2ni","Santa Clarita, CA"
"@TedNugent Theodore, you and I both know how tight guns laws are already. Problem is the consequences are not sever enough or consistently enforced.","Ann Arbor, MI"
"Finally, an excuse to stop shaving https://t.co/jRzciRIGf2","Chicago, IL"
@amjamrozek @DominicDipoalo @kylebooth55 @FreedomServed @Trevenclaw @CNN Uh-huh. And how many NRA members are there again? And what percentage of the US population wants stronger regulation of firearms? I’ll wait while you pretend to look those numbers up.,"Oak Hills Place, LA"
"I’d be happy to have a nice conversation about gun rights or shootings with anyone in person or digitally, but please don’t harass me or my family. This has really made me rethink who my real friends are. Real friends can respect differing opinions without yelling at you.","Michigan, USA"
Bernie is such opportunistic trash https://t.co/pNIT0tNGqI,"Arlington, TX"
@realDonaldTrump  @DonaldJTrumpJr  @seanhannity  @TuckerCarlson  @foxandfriends  @dbongino  so tell me what does wanting Gun control have to do with USA flag burning chanting @NRA  kills people &amp; carrying Mexican flags,"Chandler, AZ"
"@LucyInDaSkyDiam @stilestina1 @Rtfighter_MAGA @shootisttx @JoyceEScott1 @SKSSKanz @ElkfourKirk @RARRRRR @haroldb54 @4westriver @KentSailor @boomer2748 @Lineman000001 @JoeTowe1222 @sassyinky @Armyvet4 @OGWretch @GFD_63 @dan_soderholm @Myinfo75008888 @hogwarts7777777 @breal372002 @TX45patriot @DavidDbgadjet @KindlyCare13 @POTUS Yeah... And because of Biden’s ‘gun free zones’, our schools are targets. HOW many school shootings happened under Obama - that he did NOTHING about? And you claim I’m dumb...","South Carolina, USA"
"@TeaPainUSA @realDonaldTrump Absolutely!  @realDonaldTrump, @waynelapierrejr @HouseGOP @SenateGOP @SenateMajLdr @SpeakerRyan #bloodontheirhands 4 putting #guns + #russianmoney ahead of #Americans + even #Americanchildren!!!","Summit, NJ"
"I’m confused. So we can’t be purist progressives and we need to compromise, otherwise that will split a blue vote...

Unless it’s Bernie... Then an NRA D- rating is not pure enough? https://t.co/aY8tVIqwm5","Dunedin, FL"
Ironically the dog was named “Martha Stewart” https://t.co/w73VeSaidb,"Bridgewater, MA"
"@YvetteTamakloe Actually if I was in their situation I’d be doing exactly what @KyleKashuv is doing. Fighting for our rights while also making necessary change. As someone who is in college and has had active shooter incidents on campus, the first thing I itch to grab is a gun to protect myself.","Flagstaff, AZ"
Illicit drugs are illegal and and easy to get and just as deadly. https://t.co/Oj3IX4uXE5,"Texas, USA"
“lost so much respect for anyone who walked out of school today.” yeah &amp; i lost a lot of respect for the people saying that we shouldn’t further gun control. sorry but are your hillbilly ways more important than your life?,"Weiser, ID"
Conservatives telling kids to focus on ending bullying instead of protesting guns are the same people who joyfully put a bully in office.,"Biddeford, ME"
"Elementery school kids should have to protest our government - government should protest any entity bringing harm to our kids. So why is this upside down? @GOP @congressdotgov @POTUS @SenateDems @SenateGOP
@NRA - why do guns have a higher value than young lives?","Houston, TX"
@scmgraphic @marinmaven @musicsfun @redwingschic @loisbeckett And the reason they want to repeal the Second Amendment is because it prevents them from banning all guns stop pretending anything other than that clear fact,"Centreville, IL"
Goosebumps https://t.co/PRgjPyd768,"Pennsylvania, USA"
@JoyAnnReid @NRA Almost seems like guns aren’t safe 🤔,"Phoenix, AZ"
@KevinGo72782777 @american82girl @TyEducatingLibs Exactly..yet they are the ones to always stifle free speech and want guns removed sounds alot like Hitler taught them well!!.,"Detroit, MI"
HELL YES #lfk https://t.co/OKeE4ZgTs5,"Denver, CO"
SB1036 [Engross] Relating To Firearms. https://t.co/8L6OEkypnz,"Honolulu, HI"
Crazy @BernieSanders yelling about guns while being flanked by guys with guns made my day.  #NationalWalkoutDay,"Rancho Cucamonga, CA"
my sisters participated in the walkout today despite the consequences they were threatened with by our mother who is strongly against gun control they made a stand for their safety anyways and i couldn’t be more proud,"Bristol, RI"
"hey, shut the fuck up. https://t.co/5IEgJduZ1q","Ridgefield Park, NJ"
"Guns do not kill people, people kill people","Apple Valley, CA"
"So you didn’t hear about the teacher who’s gun went off in class and injured three students? 

Cork it, Bluto. You’re selling guns for the @NRA ...and being defeated by high school kids, who significantly outnumber the #NRA  #MAGA https://t.co/5stPDQY6Qj","San Diego, CA"
@SenFeinstein Spoiled children grow up to be self indulgent adults. No consequence for bad acts cause further bad acts. If it works why not do it again?  So taking guns from law abiding citizens is the consequence the shooters get?  Sorry. Wrong way to get the effect you want,"California, USA"
"@SenJohnKennedy If the dog was shot with an AR 15 in a school and you even had the nerve to mention it, you would be accused of wanting to abolish the 2nd amendment and ban all guns. I sure am tired of kids being murdered at school and gun owners not giving a crap.","Minneapolis, MN"
"Oh fuck no... People are using the whole what about abortion tho when people say no more guns to protect our kids and that to me is absolutely utter bullshit, one has nothing to do with the other... Abortion is a right guns are a privilege.","Tacoma, WA"
"@Vater_Nicht Even at 1% thats 7,500 shootings. Whole idea is lunacy. I wouldn't want 2 be a teacher &amp; be responsible 4 protecting the entire school population. Just the thought of it would cause me serious anxiety - then they'd take the gun away that they forced me 2 carry &amp; probably my job 2","Ferndale, MD"
"@billyghawaii @MaryBro77801894 @Rosie You seem to think this is about teens ONLY. This is about all human life, not just one age group. With over 30k deaths due to firearms in the year 2013, you would think gun control demand a second look.  I mean, considering 4K deaths at the hands of texting prompted swift laws.","Phoenix, AZ"
Thank you @JustinColeMoore for your song “Guns”,"Murrells Inlet, SC"
"@realDonaldTrump The goal of the Democratics is to destroy our chances of ruling the house senate and president Adam Shift and Maxine Waters and Obama’s team who still control the main stream media, just like Florida passed laws on guns, yet CNN and Linda Sosour groups drug children out of school","West Virginia, USA"
✌🏼☮️ Oy https://t.co/VhmlBzAjiX,"Brooklyn, NY"
"I would just like to state that I do think school shootings are one of the most terrible things than could ever happen, and I was in no way, trying to disrespect any victim of any shooting or say I was pro gun violence. It was just pointing out the effectiveness of cdo’s walkout.","Oro Valley, AZ"
"@Patrickpetty23 @Diztract @NicoleHockley @ReaganBattalion @senorrinhatch @KyleKashuv @rpetty @sandyhook Really? Law Enforcement  ? Hell, it seems it didn’t work, for those slain students in Parkland FL. Especially, when the Sheriff, is politically tied to the Democrat Gun Control Party!","Port Allen, LA"
Damn. https://t.co/Ixixh26bJt,"North Carolina, USA"
"@AvianSoul1 @Caitlinh24 @adamnmillennial @davidhogg111 @gridiron_guru67 We’ve militarized our Police forces with discount armaments. And bubbas gonna stop a force of well trained men from coming on his land? Wake up , it’s to late .  Buy all the damn guns you want cause if they want you they’ll get you .","Upper Providence Township, PA"
"just here to say that walking out of school not only to honor the 17 kids who had to die for this, but to protest for stricter gun laws was amazing &amp; wonderful &amp; i’m proud of every single person who walked out alongside me today #NationalWalkoutDay","Jupiter Farms, FL"
@Ethan_randleas @mallorygraber The number of suicides are not stated however they are included in that number. With that being said those kids still had access to firearms,"Wichita, KS"
These dipshits protesting guns are the same ones shoving Tide Pods in their face,"New Berlin, WI"
@MarkDice @BeachAddict80 David Hogg-wash actually went on CNN bragging that he “hang up” on the President who just called him. Yet he’s complaining on tv that the Pres is not engaging the students on gun control discussions. He is real CNN material,"Cherry Hill Mall, NJ"
"These shootings are happening EVERYWHERE. Schools, hospitals, concerts, etc. We can’t put security guards in every single building. We can’t put metal detectors in every single building. We NEED to have common sense gun laws.

It could be your building next. Fix it. #NeverAgain","Hoover, AL"
"@NRA You’ll control your own guns?????
awwww.... you guys are so cute when you’re in denial.
Somebody give them a pat on the head.","Ohio, USA"
@JamieMoranUK You know what looks good that may get my attention is Earthfall. You can 3D print guns in the game.,"Costa Mesa, CA"
Ok I’ve heard more people be outraged over the puppy passing away in the overhead bin than all the school shootings we’ve had. That puppy suffered and that’s sad but y’all can’t be serious. How do you care more about a puppy than innocent kids dying bc you love guns... #yt,"Tyler, TX"
Fight for what?? please tell me how you think standing outside of Santa Clarita City hall will influence any sort of gun control https://t.co/XErVshgcwV,"Santa Barbara, CA"
"@deeshiv_ @ChrisBlec @Brolante @thiswishistaken @bjonesbrown @NorthwesternU @TheDailyEdge @NRA Well, lack of guns isn't gonna happen with estimates of up to 600,000,000 firearms in circulation. I, personally,  would rather have a firearm to fight back, instead of hiding and hoping, if found, a killer would show mercy...","Fallon, NV"
Nerf guns on saaaleeeee https://t.co/aU8ZgthdJm,"Wichita, KS"
"14 and 16 year olds definitely should be getting education in civics, but there is no way you can ask them to vote. Most don’t know their local representatives. https://t.co/eYeWfSFi0d","Stamford, CT"
Proud of my school!! 👏🏼👏🏼 https://t.co/IqIBt4hXAo,"Runnemede, NJ"
#NoBernie2020 #NeverBernie #FckBernie https://t.co/5YzSfgVNJ9,"Chicago, IL"
@rockchalkstl You saying school shootings isn’t a real problem?,"St Peters, MO"
"Lol, typical. https://t.co/875UgYHG9T","Kentucky, USA"
"@FoxNews @KayaJones Hi Kaya, that’s what I’ve been saying for a long time. Guns don’t kill People,Criminals n those with Mental Illness kill people using Guns. Good Law Abiding Citizens with Guns like myself will NEVER kill People. Glad u got that right too. All the Best https://t.co/0n45Bz2M3C","Kendall, FL"
"@dawg_lb @KayaJones She espouses what I believe. I have the right to carry/own guns. It doesn’t matter why, it’s my right. I’m not going to give them up just because immature teenagers have been brainwashed to believe guns are a threat to them. I can’t make them see how they are being used. Wise up.","Missouri, USA"
@TheDemocrats What caused these people to attack the schools? Were they bullied? Likely they were. More effort should be made to prevent these people from getting to the point where they want to attack the school. If they don't have guns they'll find another method.,"Warner Robins, GA"
@washingtonpost @CNN @TuckerCarlson #dimturds are a sick breed @jaketapper @ https://t.co/Qw6X5sxERd,"Virginia, USA"
Sooooo I guess my high school low key went viral? That’s kinda nice https://t.co/Qq7pgIOBZc,"Northborough, MA"
@Guitarisdead @DLoesch Are you scared? https://t.co/byEMdMg5qQ,"Fairview, OR"
AHHH WE LOVE YOUUU https://t.co/R4QmuTqwsd,"Oakland, CA"
You have every right to stand by your second amendment. But choosing to promote your advocacy today was a poor choice. https://t.co/eekPdeFjRp,"West Covina, CA"
The multi-faceted social movement built by the youth that is sweeping the country is extraordinary. The diversity and inclusivity of the movement are exactly what this country needs. https://t.co/mIQjnpA12h,"Arlington, VA"
"Until we get some legislative action on Guns and Mental Health, which we will, we have to do all we can as students to make sure we create a positive and inclusive school culture  in addition to that constant push to protect our futures.","Georgia, USA"
@TheMarkPantano @Harvard @thecrimson No shit he probably can’t even do his own laundry but he’s an expert on guns. How will he protect his family when he grows up and maybe gets one with rocks 🤣,"Melbourne, FL"
“GUNS ARE CRUEL NOT COOL” says the 2nd grader. Sad state of affairs we have created. https://t.co/P6MQHCKi88,"Northumberland, PA"
"I hear ya, mine will not even think about it.... until hunting season https://t.co/Sdr7o0sU1v","Jackson, TN"
White people realizing kids are scared of guns,"Rialto, CA"
Not to b emotional on twitter or anything but things like this make me proud to be a “millennial” https://t.co/bBN4uGkPvr,"McCordsville, IN"
@keharlan That’s what I’m saying! It’s not the guns that are the problems it’s mental health!,"San Diego, CA"
"@BoogahRu_ESP Stick guns , all type of shit lol","Sacramento, CA"
"Ha-ha, the irony is priceless. https://t.co/7Q9Bl6orU3","Pennsylvania, USA"
That’s the truth. https://t.co/AT3ezPXQVc,"Ohio, USA"
#GunReformNow #GunReform #NRABoycott https://t.co/r5mw5GI2oK,"Vacaville, CA"
"The dog is innocent. 

#whosagoodboy https://t.co/h9IzLAENLa","Austin, TX"
